crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.433150	4882	0.000000
281474976710655.000000	2.442126	4883	0.000000
281474976710655.000000	2.450747	4884	0.000000
281474976710655.000000	2.398554	4885	0.000000
281474976710655.000000	2.432034	4886	0.000000
281474976710655.000000	2.420881	4887	0.000000
281474976710655.000000	2.402192	4888	0.000000
281474976710655.000000	2.403770	4889	5298688000.000000
281474976710655.000000	2.424236	4890	5299717120.000000
281474976710655.000000	2.432415	4891	5300764160.000000
281474976710655.000000	2.451010	4892	5301793792.000000
281474976710655.000000	2.463181	4893	5302839296.000000
281474976710655.000000	2.469833	4894	5303869952.000000
281474976710655.000000	2.504151	4895	5304913920.000000
281474976710655.000000	2.497408	4896	5305947648.000000
281474976710655.000000	2.496454	4897	5306986496.000000
281474976710655.000000	2.502071	4898	5308025344.000000
281474976710655.000000	2.506530	4899	5309060608.000000
281474976710655.000000	2.531863	4900	5310103040.000000
281474976710655.000000	2.525363	4901	5311134720.000000
281474976710655.000000	2.533121	4902	5312181248.000000
281474976710655.000000	2.573431	4903	5313209856.000000
281474976710655.000000	2.588047	4904	5314257920.000000
281474976710655.000000	2.561615	4905	5315284480.000000
281474976710655.000000	2.623582	4906	5316335616.000000
281474976710655.000000	2.627156	4907	5317361152.000000
281474976710655.000000	2.642293	4908	5318410752.000000
281474976710655.000000	2.634587	4909	5319437312.000000
281474976710655.000000	2.667286	4910	5320484864.000000
281474976710655.000000	2.670852	4911	5321514496.000000
281474976710655.000000	2.686024	4912	5322560512.000000
281474976710655.000000	2.681349	4913	5323590656.000000
281474976710655.000000	2.712089	4914	5324635136.000000
281474976710655.000000	2.720916	4915	5325666304.000000
281474976710655.000000	2.729721	4916	5326711296.000000
281474976710655.000000	2.736815	4917	5327742976.000000
281474976710655.000000	2.746523	4918	5328786944.000000
281474976710655.000000	2.769120	4919	5329817600.000000
281474976710655.000000	2.791115	4920	5330863616.000000
281474976710655.000000	2.781250	4921	5331893760.000000
281474976710655.000000	2.808643	4922	5332940288.000000
281474976710655.000000	2.824831	4923	5333968896.000000
281474976710655.000000	2.837554	4924	5335016960.000000
281474976710655.000000	2.832422	4925	5336044032.000000
281474976710655.000000	2.856967	4926	5337093632.000000
281474976710655.000000	2.845431	4927	5338120192.000000
281474976710655.000000	2.885963	4928	5339169280.000000
281474976710655.000000	2.859389	4929	5340196352.000000
281474976710655.000000	2.894873	4930	5341244416.000000
281474976710655.000000	2.892046	4931	5342273024.000000
281474976710655.000000	2.933612	4932	5343319040.000000
281474976710655.000000	2.917503	4933	5344350720.000000
281474976710655.000000	2.949261	4934	5345392640.000000
281474976710655.000000	2.957826	4935	5346428416.000000
281474976710655.000000	2.976946	4936	5347466240.000000
281474976710655.000000	2.978045	4937	5348506624.000000
281474976710655.000000	3.019661	4938	5349540352.000000
281474976710655.000000	3.016758	4939	5350583808.000000
281474976710655.000000	3.023407	4940	5351615488.000000
281474976710655.000000	3.046940	4941	5352660992.000000
281474976710655.000000	3.052608	4942	5353690624.000000
281474976710655.000000	3.062811	4943	5354737152.000000
281474976710655.000000	3.068716	4944	5355767296.000000
281474976710655.000000	3.099339	4945	5356812288.000000
281474976710655.000000	3.073210	4946	5357842944.000000
281474976710655.000000	3.161286	4947	5358887936.000000
281474976710655.000000	3.117511	4948	5359920128.000000
281474976710655.000000	3.131858	4949	5360963584.000000
281474976710655.000000	3.158735	4950	5361996288.000000
281474976710655.000000	3.165017	4951	5363038720.000000
281474976710655.000000	3.175333	4952	5364072448.000000
281474976710655.000000	3.191834	4953	5365114368.000000
281474976710655.000000	3.210033	4954	5366149120.000000
281474976710655.000000	3.243174	4955	5367190016.000000
281474976710655.000000	3.236283	4956	5368224768.000000
281474976710655.000000	3.251544	4957	5369266176.000000
281474976710655.000000	3.261488	4958	5370300416.000000
281474976710655.000000	3.294911	4959	5371342848.000000
281474976710655.000000	3.282482	4960	5372375552.000000
281474976710655.000000	3.316692	4961	5373419520.000000
281474976710655.000000	3.313221	4962	5374451712.000000
281474976710655.000000	3.349067	4963	5375496192.000000
281474976710655.000000	3.328759	4964	5376526848.000000
281474976710655.000000	3.360506	4965	5377572352.000000
281474976710655.000000	3.381557	4966	5378602496.000000
281474976710655.000000	3.418994	4967	5379648000.000000
281474976710655.000000	3.410295	4968	5380678656.000000
281474976710655.000000	3.449188	4969	5381723136.000000
281474976710655.000000	3.468412	4970	5382755328.000000
281474976710655.000000	3.467528	4971	5383798272.000000
281474976710655.000000	3.472462	4972	5384832512.000000
281474976710655.000000	3.508755	4973	5385872384.000000
281474976710655.000000	3.503021	4974	5386910208.000000
281474976710655.000000	3.531467	4975	5387946496.000000
281474976710655.000000	3.517936	4976	5388987904.000000
281474976710655.000000	3.530476	4977	5390020608.000000
281474976710655.000000	3.596583	4978	5391065600.000000
281474976710655.000000	3.538704	4979	5392095744.000000
281474976710655.000000	3.570299	4980	5393142272.000000
281474976710655.000000	3.575222	4981	5394171392.000000
281474976710655.000000	3.611177	4982	5395218944.000000
281474976710655.000000	3.615956	4983	5396246528.000000
281474976710655.000000	3.650523	4984	5397295104.000000
281474976710655.000000	3.677483	4985	5398323200.000000
281474976710655.000000	3.700230	4986	5399370752.000000
281474976710655.000000	3.704602	4987	5400399360.000000
281474976710655.000000	3.737756	4988	5401446400.000000
281474976710655.000000	3.733006	4989	5402475520.000000
281474976710655.000000	3.785026	4990	5403522048.000000
281474976710655.000000	3.745311	4991	5404552192.000000
281474976710655.000000	3.802946	4992	5405598208.000000
281474976710655.000000	3.832292	4993	5406627840.000000
281474976710655.000000	3.828184	4994	5407673856.000000
281474976710655.000000	3.839362	4995	5408703488.000000
281474976710655.000000	3.858233	4996	5409750528.000000
281474976710655.000000	3.884602	4997	5410779648.000000
281474976710655.000000	3.910225	4998	5411826688.000000
281474976710655.000000	3.889055	4999	5412855296.000000
281474976710655.000000	3.914953	5000	5413902848.000000
281474976710655.000000	3.915074	5001	5414931456.000000
281474976710655.000000	3.947150	5002	5415978496.000000
281474976710655.000000	3.949127	5003	5417007104.000000
281474976710655.000000	4.024502	5004	5418054656.000000
281474976710655.000000	3.995390	5005	5419083776.000000
281474976710655.000000	4.022645	5006	5420129792.000000
281474976710655.000000	4.012767	5007	5421160960.000000
281474976710655.000000	4.055902	5008	5422204416.000000
281474976710655.000000	4.045784	5009	5423238144.000000
281474976710655.000000	4.118716	5010	5424279040.000000
281474976710655.000000	4.139363	5011	5425315840.000000
281474976710655.000000	4.162064	5012	5426353152.000000
281474976710655.000000	4.166868	5013	5427393536.000000
281474976710655.000000	4.204958	5014	5428428288.000000
281474976710655.000000	4.193938	5015	5429470720.000000
281474976710655.000000	4.248310	5016	5430503424.000000
281474976710655.000000	4.219716	5017	5431547392.000000
281474976710655.000000	4.263338	5018	5432578560.000000
281474976710655.000000	4.267807	5019	5433624064.000000
281474976710655.000000	4.285975	5020	5434654720.000000
281474976710655.000000	4.287719	5021	5435700224.000000
281474976710655.000000	4.334345	5022	5436731392.000000
281474976710655.000000	4.354707	5023	5437775872.000000
281474976710655.000000	4.386280	5024	5438807552.000000
281474976710655.000000	4.361136	5025	5439851520.000000
281474976710655.000000	4.382435	5026	5440883712.000000
281474976710655.000000	4.389623	5027	5441927680.000000
281474976710655.000000	4.454956	5028	5442959872.000000
281474976710655.000000	4.439627	5029	5444003328.000000
281474976710655.000000	4.497044	5030	5445036032.000000
281474976710655.000000	4.502650	5031	5446080000.000000
281474976710655.000000	4.497283	5032	5447112192.000000
281474976710655.000000	4.530748	5033	5448155648.000000
281474976710655.000000	4.599384	5034	5449187840.000000
281474976710655.000000	4.593999	5035	5450231808.000000
281474976710655.000000	4.622338	5036	5451264000.000000
281474976710655.000000	4.592445	5037	5452308480.000000
