num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3339	3672.313141	29.865148	-1.194665	1.885632	1.507768
3341	3674.387062	29.821887	-1.196123	1.884999	1.701217
3343	3676.463961	29.794258	-1.186953	1.884308	1.599580
3345	3678.537511	29.734866	-1.179418	1.883194	1.940208
3347	3680.614865	29.741142	-1.169885	1.882814	1.559903
3349	3682.689894	29.637655	-1.095795	1.881475	1.708584
3351	3684.768905	30.904988	-1.148056	1.901597	1.679667
3353	3686.844346	30.351740	3.082236	1.881835	1.896053
3355	3688.926585	32.309217	1.739525	1.916849	1.733779
3357	3691.004800	32.557802	3.238436	1.923811	1.576748
3359	3693.083077	33.066582	3.042744	1.927966	1.762189
3361	3695.160785	33.280677	1.758027	1.912992	1.593255
3363	3697.238354	32.803421	-0.994147	1.904469	1.757650
3365	3699.316641	31.847252	2.841825	1.871821	1.836213
3367	3701.393002	32.660231	-0.981982	1.887343	2.051756
3369	3703.469939	34.624731	1.758766	1.916630	1.948278
3371	3705.545694	35.500236	1.997013	1.921286	2.043948
3373	3707.623039	34.480241	-0.924377	1.909466	2.015755
3375	3709.699157	34.090093	3.537073	1.876497	1.991280
3377	3711.776904	34.617832	-0.858365	1.887214	2.043593
3379	3713.853002	35.485472	-0.887366	1.909676	2.251757
3381	3715.930392	34.746640	3.523159	1.868461	2.289602
3383	3718.006502	37.403322	2.035897	1.915131	2.404462
3385	3720.083310	36.599142	-0.833468	1.910751	2.404166
3387	3722.160138	37.066331	-0.915628	1.900193	2.360095
3389	3724.236770	36.877119	-0.750803	1.891776	2.421330
3391	3726.312669	37.700350	-0.833778	1.902047	2.571938
3393	3728.389211	37.660823	-0.708812	1.892251	2.369810
3395	3730.464781	37.630295	3.380846	1.882561	2.655617
3397	3732.540112	38.460097	-0.611291	1.892925	2.441252
3399	3734.615752	38.654362	3.547478	1.881972	2.645308
3401	3736.691301	40.500475	2.378680	1.929642	2.714862
3403	3738.767095	40.858657	2.019710	1.929439	2.909853
3405	3740.842690	40.482153	-0.601085	1.913296	2.873534
3407	3742.919283	40.479238	-0.565222	1.895771	3.021538
3409	3744.995877	41.482327	4.206391	1.877343	2.987235
3411	3747.073033	42.583385	2.209157	1.925740	3.112363
3413	3749.149170	43.760402	2.207799	1.930900	3.322414
3415	3751.226645	42.246821	-0.400955	1.893977	3.170437
3417	3753.303226	42.602564	-0.386871	1.894005	3.343568
3419	3755.380348	43.463274	-0.508726	1.910636	3.373490
3421	3757.457098	43.975465	-0.558951	1.904186	3.613517
3423	3759.535018	44.219081	4.477957	1.876793	3.532936
3425	3761.612568	46.036705	2.177016	1.925617	3.704715
3427	3763.690532	45.290022	-0.450777	1.909058	3.686405
3429	3765.768172	45.501563	-0.342998	1.889924	3.755168
3431	3767.846388	46.247273	-0.406018	1.908345	3.828916
3433	3769.924398	45.976046	-0.329513	1.889947	3.789758
3435	3772.002180	46.677903	-0.211544	1.891855	4.009599
3437	3774.079969	48.948909	2.510551	1.928271	3.942994
3439	3776.157908	49.638629	1.891030	1.922203	4.106768
3441	3778.235221	49.533750	2.741073	1.919638	4.248409
3443	3780.312407	50.491226	2.620303	1.921175	4.255371
3445	3782.389577	50.546805	1.824038	1.918686	4.290892
3447	3784.466711	50.049602	-0.247074	1.903611	4.459785
3449	3786.543804	49.980061	4.485228	1.880218	4.450492
3451	3788.620686	50.761200	-0.021631	1.893546	4.659608
3453	3790.697578	51.294050	-0.076451	1.892069	4.651216
3455	3792.774262	51.589359	4.679615	1.881037	4.917151
3457	3794.850997	51.964686	0.067486	1.894013	4.950013
3459	3796.928463	54.867377	2.101003	1.915862	5.134482
3461	3799.004858	55.129609	2.323412	1.917551	5.311825
3463	3801.081611	54.974449	2.387145	1.913404	5.097752
3465	3803.158677	55.921693	2.365585	1.915402	5.272927
3467	3805.234874	56.450445	1.921917	1.916539	5.385425
3469	3807.311419	56.615142	1.990953	1.916366	5.523604
3471	3809.387709	55.849496	0.094139	1.888912	5.584401
3473	3811.464083	56.045373	4.601396	1.878357	5.765429
3475	3813.540118	56.850295	0.159325	1.889271	5.713074
3477	3815.616428	58.811112	2.166568	1.914911	5.942305
3479	3817.692787	58.002695	0.178753	1.888493	6.190681
3481	3819.769379	58.575425	0.082636	1.896377	6.282489
3483	3821.846173	59.183790	0.143153	1.897953	6.587558
3485	3823.922830	59.100058	4.399854	1.890661	6.465529
3487	3825.999776	60.675777	2.591825	1.908668	6.415022
3489	3828.076570	60.585227	0.234708	1.888315	6.839677
3491	3830.153419	61.095014	0.211137	1.887232	6.897164
3493	3832.230615	61.308681	0.166797	1.887977	6.865379
3495	3834.307849	62.233567	0.303956	1.885970	6.985882
3497	3836.384948	62.003600	4.575351	1.892727	7.002955
3499	3838.462384	63.267168	0.338721	1.885273	7.131997
3501	3840.539521	63.406605	0.234605	1.885790	7.473371
3503	3842.616956	64.941756	2.221481	1.905111	7.586140
3505	3844.694646	64.774866	2.501992	1.904756	7.553453
3507	3846.772018	66.898331	0.278030	1.884932	7.746686
3509	3848.849712	65.903783	0.301433	1.883048	7.854391
3511	3850.927314	66.257801	0.419609	1.881857	7.940364
3513	3853.004913	66.298988	0.271286	1.884210	7.989688
3515	3855.082098	68.177179	2.451094	1.901187	8.161972
