time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
3493.847348	49.100517	0.000282	174.137802	9
3494.847379	53.217964	0.000306	173.830414	10
3495.924192	50.707001	0.000291	173.976395	11
3496.933177	54.863979	0.000315	174.146545	12
3498.003251	51.195301	0.000294	173.889145	13
3499.018523	53.722584	0.000309	173.890350	14
3500.081931	54.195950	0.000311	174.224915	15
3501.104273	55.796829	0.000322	173.361328	16
3502.162066	56.650467	0.000326	173.727432	17
3503.185324	56.053295	0.000321	174.417999	18
3504.242191	56.535244	0.000325	174.017761	19
3505.273015	86.083206	0.000496	173.716110	20
3506.323298	58.548576	0.000336	174.188522	21
3507.355285	59.407421	0.000340	174.493500	22
3508.407497	92.849922	0.000535	173.628113	23
3509.435767	59.897270	0.000345	173.823013	24
3510.487408	89.965973	0.000518	173.759293	25
3511.519272	61.489651	0.000354	173.702988	26
3512.571715	62.369701	0.000359	173.899414	27
3513.599215	63.137016	0.000364	173.427460	28
3514.655807	63.711960	0.000367	173.648331	29
3515.678506	65.292389	0.000375	173.911621	30
3516.741023	63.821865	0.000367	173.832214	31
3517.758769	66.748276	0.000382	174.749710	32
3518.822014	65.162323	0.000374	174.111069	33
3519.839350	68.622704	0.000395	173.900162	34
3520.906404	66.140007	0.000380	174.242874	35
3521.919791	70.446701	0.000406	173.725922	36
3522.991836	65.493134	0.000376	174.368484	37
3524.001817	70.858315	0.000409	173.367966	38
3525.074552	67.127754	0.000386	173.815903	39
3526.079802	72.461319	0.000417	173.750687	40
3527.159585	68.067924	0.000391	173.905579	41
3528.162359	73.132759	0.000421	173.834030	42
3529.238143	69.209328	0.000399	173.616180	43
3530.244267	73.250313	0.000422	173.690292	44
3531.320338	93.924599	0.000541	173.622818	45
3532.328412	72.843491	0.000420	173.615875	46
3533.400497	97.644638	0.000563	173.513504	47
3534.412348	83.083702	0.000478	173.664795	48
3535.480880	73.403038	0.000423	173.529358	49
3536.495663	72.964767	0.000420	173.697861	50
3537.559682	74.453491	0.000429	173.612991	51
3538.576241	74.003136	0.000426	173.605911	52
3539.641643	74.822708	0.000431	173.568161	53
3540.662616	73.846291	0.000425	173.952103	54
3541.719988	75.486526	0.000435	173.718079	55
3542.745374	75.558006	0.000434	174.173279	56
3543.801790	75.911484	0.000435	174.341156	57
3544.829742	74.785583	0.000430	173.986359	58
3545.881963	76.186287	0.000439	173.515015	59
3546.911673	76.152710	0.000438	174.057785	60
3547.959864	78.132362	0.000449	174.035873	61
3548.995528	75.411308	0.000433	174.062317	62
3550.043256	77.629684	0.000447	173.603790	63
3551.078408	75.645409	0.000435	173.991501	64
3552.123089	77.908607	0.000448	173.960236	65
3553.161848	75.963577	0.000438	173.349091	66
3554.205089	78.214951	0.000451	173.531616	67
3555.241630	75.862442	0.000437	173.675812	68
3556.285336	116.477844	0.000671	173.516525	69
3557.324288	95.522499	0.000551	173.479843	70
3558.367507	78.465225	0.000451	173.918732	71
3559.405526	75.482529	0.000435	173.605911	72
3560.448424	78.552757	0.000452	173.959946	73
3561.485136	77.053749	0.000443	174.016418	74
3562.530829	77.659355	0.000447	173.650131	75
3563.566681	75.911804	0.000437	173.607269	76
3564.612745	78.317909	0.000451	173.664795	77
3565.647347	75.886108	0.000437	173.612106	78
3566.695731	78.001320	0.000450	173.223328	79
3567.729049	75.643860	0.000435	173.896393	80
3568.775869	77.773056	0.000448	173.460968	81
3569.809206	75.712303	0.000434	174.476135	82
3570.860985	87.156464	0.000503	173.173508	83
3571.889651	74.672600	0.000430	173.752502	84
3572.940786	77.388634	0.000446	173.589600	85
3573.969504	74.647041	0.000430	173.678680	86
3575.021952	78.007507	0.000448	174.042084	87
3576.047881	76.161484	0.000438	173.857285	88
3577.106558	75.168648	0.000433	173.633698	89
3578.129386	75.839577	0.000435	174.402908	90
3579.188263	74.288559	0.000428	173.678085	91
3580.209861	79.921005	0.000460	173.586868	92
3581.269508	74.684860	0.000429	173.992706	93
3582.289256	74.462830	0.000429	173.566650	94
3583.351968	74.111473	0.000426	174.082840	95
3584.369862	75.445549	0.000434	173.663116	96
3585.434032	72.708107	0.000419	173.632019	97
3586.449668	100.691780	0.000580	173.545364	98
3587.515470	74.067757	0.000426	173.682312	99
3588.531085	75.946289	0.000437	173.733780	100
3589.597672	70.949112	0.000408	173.784348	101
3590.611730	74.875244	0.000431	173.681854	102
3591.677674	70.484802	0.000406	173.772583	103
3592.693973	109.353676	0.000631	173.295197	104
3593.759442	70.210014	0.000404	173.708267	105
3594.774057	73.696106	0.000424	173.687271	106
3595.840961	70.998512	0.000410	173.269684	107
3596.855007	74.432762	0.000428	173.972931	108
3597.918741	69.286118	0.000398	173.898788	109
3598.938490	72.092720	0.000415	173.622208	110
3599.996413	69.891937	0.000402	174.045700	111
3601.021256	72.398346	0.000417	173.683197	112
3602.076073	71.746376	0.000412	174.143982	113
3603.102078	71.074570	0.000408	174.049774	114
3604.156746	71.004448	0.000408	173.974136	115
3605.184109	69.938065	0.000402	173.761719	116
3606.236974	70.426193	0.000404	174.358521	117
3607.266579	70.281288	0.000405	173.556992	118
3608.317727	67.810547	0.000390	173.677322	119
3609.346447	72.158546	0.000416	173.541290	120
3610.397345	69.575119	0.000399	174.430832	121
3611.427854	68.882744	0.000397	173.674744	122
3612.477773	69.488342	0.000399	174.039642	123
3613.510209	68.534828	0.000395	173.435608	124
3614.559271	68.319366	0.000392	174.069992	125
3615.590469	68.477844	0.000395	173.496155	126
3616.641952	73.660469	0.000424	173.545654	127
3617.668657	149.016602	0.000857	173.854263	128
3618.720342	99.492325	0.000573	173.772873	129
3619.748462	69.597855	0.000401	173.544159	130
3620.806019	63.504784	0.000366	173.623871	131
3621.828479	66.902794	0.000385	173.663422	132
3622.887689	64.316254	0.000369	174.097183	133
3623.908064	66.001747	0.000380	173.502335	134
3624.968284	65.231644	0.000375	174.037415	135
3625.988031	67.792931	0.000391	173.536301	136
3627.050371	61.241188	0.000353	173.586121	137
3628.066649	66.589790	0.000383	174.011429	138
3629.130706	62.252495	0.000357	174.596298	139
3630.147504	67.321510	0.000387	173.904373	140
3631.213188	63.716335	0.000367	173.393326	141
3632.228248	66.609619	0.000384	173.406158	142
